41725	1880
41724	2064
41723	1676
41722	1070
41721	1240
41720	2945
41719	3016
41718	2440
41658	2380
41716	2501
41715	2498
41714	1746
41713	1084.5
41712	816
41711	2307
41710	2640
41709	2307
41708	1842
41707	1892
41706	1890
41705	1600
41704	1557
41703	3280
41702	3642
41701	2884
41700	2382
41699	1518
41698	2976
41697	2736
41696	3482
41695	2640
41694	1710
41693	1413
41692	460
41691	2202
41690	2055
41689	1882
41688	1708
41687	2020
41686	2260
41685	1342
41684	3207
41683	3326
41682	3276
41681	2440
41680	2548
41679	1396
41678	1011
41677	1940
41676	3123
41675	3096
41674	2132
41673	2632
41672	1800
41671	1092
41670	3502
41669	3335
41668	3564
41667	3160
41666	2374
41665	2110
41664	2458
41663	1200
41662	972
41661	1520
41660	1382
41659	1444
41658	960
41657	240
41656	537
41655	2104
41654	1600
41653	740
41652	438
41651	1050
41650	0
41649	300
41648	1146
41647	0
41646	744
41645	648
41644	828
41643	1823
41642	2206
41641	2618
41640	2886
41639	1824
41638	1254
41637	1628
41636	1616
41635	1609
41634	709
41633	1206
41632	858
41631	1786
41630	3728
41629	4117
41628	894
41627	1508
41626	696
41625	72
41624	186
41623	3028
41622	3377.5
41621	36
41620	304
41618	426
41617	106
41616	1538
41615	3047.5
41614	276
41613	582
41612	483
41611	624
41609	649
41608	372
41607	101
41604	135
41601	120
41600	180
41594	446
41593	444
41592	133
41590	444
41588	348
41587	348
41586	264
41584	402
41571	484
41569	516
41568	300
41560	282
41559	452
41557	288
41547	128
41539	24
41532	72
41531	48
41525	46
41524	20
41483	38
